Country,Year,Cause,Deaths2
2340,2017,AAA,1933.0
2340,2017,P220,316.0
4010,2017,AAA,256.0
2340,2017,P369,220.0
1300,2017,AAA,148.0
2340,2017,J189,124.0
4188,2017,AAA,85.0
1300,2017,P229,25.0
2230,2017,AAA,23.0
1300,2017,P369,20.0
4010,2017,P070,18.0
1365,2017,AAA,16.0
4010,2017,P219,14.0
4010,2017,P369,12.0
1300,2017,Q249,11.0
4160,2017,AAA,10.0
4188,2017,Q897,9.0
1365,2017,P229,6.0
4160,2017,P07,4.0
4188,2017,P220,4.0
4188,2017,P369,4.0
2230,2017,P220,3.0
2230,2017,P968,3.0
1365,2017,P543,2.0
1365,2017,Q897,2.0
2230,2017,P240,2.0
4160,2017,P36,2.0
4160,2017,P91,1.0
2070,2016,AAA,36350.0
2310,2016,AAA,24618.0
2450,2016,AAA,23161.0
3400,2016,AAA,15026.0
2250,2016,AAA,8166.0
4335,2016,AAA,7764.0
2020,2016,AAA,6989.0
3380,2016,AAA,4233.0
2450,2016,P072,3044.0
2180,2016,AAA,3042.0
2070,2016,P369,2895.0
4301,2016,AAA,2729.0
4310,2016,AAA,2711.0
2310,2016,P220,2685.0
4184,2016,AAA,2620.0
2310,2016,P369,2558.0
2070,2016,P220,2046.0
2310,2016,Q249,1990.0
3400,2016,P220,1891.0
2120,2016,AAA,1629.0
2360,2016,AAA,1522.0
2450,2016,R959,1500.0
2070,2016,Q249,1452.0
4270,2016,AAA,1398.0
3260,2016,AAA,1314.0
2450,2016,R99,1247.0
3325,2016,AAA,1154.0
4280,2016,AAA,1120.0
2350,2016,AAA,1046.0
4335,2016,P22,1020.0
3400,2016,P369,977.0
4335,2016,P23,927.0
2250,2016,J189,917.0
4335,2016,J18,803.0
3283,2016,AAA,763.0
4310,2016,P072,763.0
3400,2016,Q249,661.0
2250,2016,P220,652.0
4210,2016,AAA,597.0
3380,2016,P07,572.0
2020,2016,P070,518.0
4301,2016,P21,499.0
2150,2016,AAA,497.0
2020,2016,P220,484.0
2250,2016,P369,461.0
4184,2016,P011,437.0
2180,2016,P220,436.0
3380,2016,P36,432.0
2020,2016,Q249,425.0
2460,2016,AAA,376.0
4301,2016,P96,375.0
3380,2016,Q24,370.0
4150,2016,AAA,368.0
4007,2016,AAA,352.0
4260,2016,AAA,352.0
4301,2016,Q03,318.0
4045,2016,AAA,317.0
4290,2016,AAA,295.0
4240,2016,AAA,283.0
3260,2016,P220,241.0
2360,2016,P220,224.0
2380,2016,AAA,214.0
2180,2016,P369,212.0
4184,2016,P021,210.0
4270,2016,J189,189.0
3283,2016,P07,188.0
4330,2016,AAA,181.0
2120,2016,P072,179.0
3283,2016,P96,179.0
3325,2016,P220,176.0
4184,2016,P000,173.0
4038,2016,AAA,161.0
3320,2016,AAA,160.0
4310,2016,R959,135.0
4270,2016,J180,122.0
4310,2016,P073,121.0
4220,2016,AAA,118.0
2180,2016,J189,115.0
3260,2016,B052,114.0
3260,2016,J180,109.0
2120,2016,Q249,106.0
2045,2016,AAA,102.0
3350,2016,AAA,87.0
3283,2016,P22,86.0
2360,2016,Q249,81.0
2350,2016,P072,74.0
2350,2016,Q249,73.0
