Country,Cause,Deaths2
4335,AAA,7764.0
4335,P22,1020.0
4335,P23,927.0
4335,J18,803.0
4330,AAA,181.0
4330,R959,18.0
4330,P072,13.0
4330,P011,9.0
4310,AAA,2711.0
4310,P072,763.0
4310,R959,135.0
4310,P073,121.0
4301,AAA,2729.0
4301,P21,499.0
4301,P96,375.0
4301,Q03,318.0
4290,AAA,295.0
4290,R950,17.0
4290,R99,17.0
4290,P77,15.0
4280,AAA,1120.0
4280,P369,61.0
4280,Q249,49.0
4280,P219,48.0
4270,AAA,1398.0
4270,J189,189.0
4270,J180,122.0
4270,Q249,71.0
4260,AAA,352.0
4260,P369,43.0
4260,Q897,28.0
4260,P239,23.0
4240,AAA,283.0
4240,Q249,16.0
4240,P369,14.0
4240,P77,14.0
4220,AAA,118.0
4220,P021,12.0
4220,R950,9.0
4220,P027,6.0
4210,AAA,597.0
4210,P969,46.0
4210,P070,41.0
4210,P219,39.0
4188,AAA,139.0
4188,Q897,13.0
4188,P220,8.0
4188,Q234,7.0
4184,AAA,2620.0
4184,P011,437.0
4184,P021,210.0
4184,P000,173.0
4160,AAA,3.0
4160,R95,2.0
4160,E84,1.0
4160,A04,0.0
4150,AAA,368.0
4150,P220,22.0
4150,P523,20.0
4150,R959,19.0
4055,AAA,33.0
4055,P36,6.0
4055,P21,4.0
4055,P22,3.0
4045,AAA,317.0
4045,P77,23.0
4045,P220,17.0
4045,P072,14.0
4038,AAA,161.0
4038,P027,21.0
4038,P015,10.0
4038,P220,9.0
4010,AAA,269.0
4010,P036,13.0
4010,P070,13.0
4010,P072,11.0
4007,AAA,352.0
4007,P220,56.0
4007,P369,38.0
4007,R99,32.0
3400,AAA,15026.0
3400,P220,1891.0
3400,P369,977.0
3400,Q249,661.0
3380,AAA,4233.0
3380,P07,572.0
3380,P36,432.0
3380,Q24,370.0
3350,AAA,87.0
3350,Q249,8.0
3350,P293,5.0
3350,R99,5.0
3325,AAA,1154.0
3325,P220,176.0
3325,P369,67.0
3325,R99,58.0
3320,AAA,160.0
3320,P22,18.0
3320,Q24,14.0
3320,Q89,12.0
3283,AAA,763.0
3283,P07,188.0
3283,P96,179.0
3283,P22,86.0
3260,AAA,1314.0
3260,P220,241.0
3260,B052,114.0
3260,J180,109.0
3080,AAA,28.0
3080,P220,6.0
3080,P524,3.0
3080,Q249,2.0
3030,AAA,53.0
3030,P220,10.0
3030,P070,4.0
3030,A419,3.0
2460,AAA,376.0
2460,Q249,35.0
2460,P369,32.0
2460,P072,26.0
2455,AAA,3.0
2455,P220,1.0
2455,P523,1.0
2455,R959,1.0
2450,AAA,23161.0
2450,P072,3044.0
2450,R959,1500.0
2450,R99,1247.0
2420,AAA,25.0
2420,P369,5.0
2420,P072,3.0
2420,P073,3.0
2385,AAA,15.0
2385,P220,2.0
2385,P783,2.0
2385,J189,1.0
2380,AAA,214.0
2380,R99,18.0
2380,P369,16.0
2380,P220,15.0
2360,AAA,1522.0
2360,P220,224.0
2360,Q249,81.0
2360,P369,65.0
2350,AAA,1046.0
2350,P072,74.0
2350,Q249,73.0
2350,P369,53.0
2340,AAA,1967.0
2340,P220,330.0
2340,P369,192.0
2340,J189,149.0
2320,A099,0.0
2320,AAA,0.0
2320,B349,0.0
2320,C229,0.0
2310,AAA,24618.0
2310,P220,2685.0
2310,P369,2558.0
2310,Q249,1990.0
2250,AAA,8166.0
2250,J189,917.0
2250,P220,652.0
2250,P369,461.0
2230,AAA,26.0
2230,P369,4.0
2230,P220,3.0
2230,P969,3.0
2180,AAA,3042.0
2180,P220,436.0
2180,P369,212.0
2180,J189,115.0
2150,AAA,497.0
2150,P220,35.0
2150,P369,24.0
2150,P239,21.0
2120,AAA,1629.0
2120,P072,179.0
2120,Q249,106.0
2120,Q000,70.0
2070,AAA,36350.0
2070,P369,2895.0
2070,P220,2046.0
2070,Q249,1452.0
2050,AAA,3.0
2050,P916,1.0
2050,P969,1.0
2050,R99,1.0
2045,AAA,102.0
2045,P220,23.0
2045,P229,10.0
2045,Q249,7.0
2025,AAA,3.0
2025,G129,1.0
2025,P072,1.0
2025,Q606,1.0
2020,AAA,6989.0
2020,P070,518.0
2020,P220,484.0
2020,Q249,425.0
2010,AAA,13.0
2010,P220,2.0
2010,P369,2.0
2010,G419,1.0
2005,AAA,1.0
2005,Q909,1.0
2005,C19,0.0
2005,C349,0.0
1365,AAA,11.0
1365,P229,3.0
1365,Q249,2.0
1365,Q897,2.0
1300,AAA,143.0
1300,P229,17.0
1300,P369,16.0
1300,P219,11.0
