Country Name,Deaths2
Ecuador,9019
Norway,6497
Netherlands,6466
Uzbekistan,4968
Argentina,4874
Bermuda,4613
Rodrigues,4428
Puerto Rico,4377
Portugal,3551
Estonia,3321
Brunei Darussalam,3127
Saint Vincent and Grenadines,3125
Czech Republic,2966
Virgin Islands (USA),2948
Aruba,2916
Hungary,2807
Antigua and Barbuda,2623
Mauritius,2578
Romania,2475
Anguilla,2354
Guatemala,2184
Cyprus,2032
Occupied Palestinian Territory,1983
Tajikistan,1972
Qatar,1941
Austria,1883
Sweden,1780
Lithuania,1716
Singapore,1674
Uruguay,1576
"United Kingdom, Scotland",1554
Republic of Moldova,1553
Grenada,1470
Montserrat,1337
Thailand,960
Brazil,803
Nicaragua,782
Belize,708
"United Kingdom, England and Wales",515
Panama,502
Iceland,360
Saint Kitts and Nevis,332
Mongolia,326
Spain,297
Armenia,293
Croatia,290
Chile,285
Kyrgyzstan,234
Republic of Korea,210
Turkey,209
Paraguay,179
United States of America,111
Mexico,70
Cuba,34
