Country Name,Country,IM_Deaths2,Happiness Score
Singapore,3400,4968,6.739
Republic of Korea,2020,4874,5.835
Antigua and Barbuda,4280,4613,NaN
Rodrigues,4310,4428,NaN
Republic of Moldova,3325,4377,5.897
Romania,2180,3551,5.528
Estonia,4045,3321,5.517
Brunei Darussalam,4150,3127,NaN
Grenada,4240,3125,NaN
Portugal,2120,2966,5.123
Bermuda,4270,2948,NaN
Occupied Palestinian Territory,4210,2916,4.754
Chile,2150,2807,6.705
Saint Kitts and Nevis,4290,2623,NaN
Mauritius,4010,2578,5.648
Cuba,2250,2475,NaN
Anguilla,4330,2354,NaN
"United Kingdom, Scotland",2360,2184,NaN
Cyprus,4038,2032,5.546
Saint Vincent and Grenadines,4220,1983,NaN
Qatar,4184,1972,6.375
Aruba,4188,1941,NaN
Guatemala,2350,1883,6.324
Austria,2340,1780,7.119
Lithuania,2460,1716,5.813
Uruguay,3260,1576,6.545
Paraguay,2380,1554,5.538
Virgin Islands (USA),4260,1470,NaN
Montserrat,4335,1337,NaN
Uzbekistan,3350,960,5.987
Turkey,1300,803,5.389
Nicaragua,3080,782,5.992
Belize,4055,708,5.956
Czech Republic,2045,515,6.596
Panama,3030,502,6.701
Iceland,4160,360,7.501
Puerto Rico,3320,326,7.039
Ecuador,2025,297,5.976
Mongolia,3283,293,4.907
Norway,2420,290,7.498
Netherlands,2230,285,7.339
Kyrgyzstan,2455,234,5.185
Hungary,2050,210,5.145
"United Kingdom, England and Wales",2010,209,6.725
Croatia,2385,179,5.488
Argentina,1365,111,6.65
Spain,2005,70,6.361
Sweden,2320,34,7.291
